contact_id,customer_id,contact_name,email,phone,role,active_flag
64,28,Jesus Thomas,zbeltran@example.net,663.614.4084x9963,Finance,False
65,28,Lindsey Jones,youngjames@example.com,364-602-0614,Procurement,False
66,29,John Lee,garzamichaelexample.org,821-555-2697x3317,Technical,True
67,29,Adam Smith,olucas@example.org,588.916.3650,Technical,False
68,29,Nicole Strong,zjarvis@example.net,+1-212-592-3846x89858,Technical,False
69,30,Isaac Boyd,meyerscole@example.net,(961)458-8773,Finance,True
70,31,Timothy Ruiz,peter77@,001-408-646-1672x12498,Finance,True
71,31,Jay Cortez,kinggerald@example.com,8114670492,Technical,False
72,31,Jessica Garrison,jesus30@example.net,(591)979-1958x842,Procurement,True
73,32,Renee Hernandez,wmills@example.org,372.439.6524x884,Procurement,True
74,32,Sheryl Hardin,danaerickson@example.org,9148027453,Procurement,False
75,32,Deborah Mccarthy,rlong@example.com,781.954.4941,Technical,True
76,33,Sarah Francis,barbaratrujillo@example.net,+1-484-306-4814x139,Technical,True
77,33,Toni Robinson,dennislisa@example.com,001-891-434-4359,Technical,False
78,33,Robert Carlson,robertbrown@example.org,+1-359-338-4716x15980,Procurement,True
79,33,Martin Ryan,johnsonshannon@example.com,001-630-640-9517x168,Technical,False
80,34,Evan Lewis,invalid_email,516-442-2500,Procurement,False
81,34,Brian Campbell Jr.,alyssanewman@example.net,(565)478-4308,Technical,True
82,36,Victoria Atkins,evelyn83@example.org,001-672-258-7407,Procurement,False
83,36,Travis Gonzales,rodriguezjeremy@example.org,001-839-228-6306,Decision Maker,False
84,36,Kelly Salinas,lauren33@example.com,(444)744-6560,Decision Maker,True
85,36,Tom Harper,kgarcia@example.net,(737)501-0774x58835,Finance,False
86,36,Erica Browning,garyallen@example.net,001-913-233-4948x2205,Finance,False
87,37,Diana Morse,jessesmith@example.net,001-994-928-0993x557,Finance,True
88,38,Dr. Daniel Lopez,matthewsgina@example.org,(364)821-1255,Finance,False
89,38,Joshua Cooper,beardamanda@example.com,7339247652,Technical,True
90,39,Christina White,yvelazquez@example.org,262.915.1344x7991,Procurement,True
91,40,Robert Campbell,devin57@example.net,001-314-887-7345x53421,Procurement,False
92,40,Mr. Sean Arnold Jr.,olambert@example.net,(467)262-1262,Technical,False
93,40,Mrs. Samantha Kirk DDS,qgreen@example.org,(524)617-7694x692,Procurement,True
94,41,Raven Estrada,xjohnson@example.org,414.850.8375x36493,Technical,False
95,41,Kathy Hicks,thompsonalison@example.com,972.351.0258x5992,Finance,True
96,43,Brooke Tucker,anthonysmith@example.com,+1-354-767-5693x38483,Decision Maker,True
97,43,Randy Jones,fbryant@example.com,951.778.2362x49064,Procurement,True
98,43,Michael Smith,bwatson@example.net,001-551-808-1298x6139,Finance,True
99,43,Danielle Williams,fernandezshane@example.org,645.726.0100x649,Procurement,False
100,44,Peter Jones,brownsandra@,239.453.5987,Technical,False
101,44,Lauren Davis,krista43@example.com,001-527-513-1196x328,Procurement,True
102,44,Kathleen Williams,kelseybaileyexample.org,(388)311-8011x5921,Procurement,False
103,44,Julie Hines,stephanie05@example.com,445.905.0059x29281,Finance,False
104,45,Melissa Joyce,richard71@example.net,(347)711-3588x455,Procurement,False
105,45,David Wolfe,johnny95@example.com,001-304-367-7847x515,Technical,False
106,45,Larry Carter,christina46@example.net,281-640-3117,Technical,True
107,45,Karen Brown MD,gbrady@example.net,773.605.1138x441,Finance,True
108,45,Jonathan Cruz,davidrodgers@example.com,(243)904-9025x83153,Finance,True
109,46,Charles Smith,diana62@example.net,001-830-983-1769x30222,Procurement,False
110,46,Joel Taylor,lopezalexander@example.com,001-949-242-3301x5730,Finance,False
111,47,Valerie Lowe,scott56@example.com,376-743-6775x140,Finance,False
112,48,Christopher Dalton,zsandoval@example.org,937-536-4820x817,Finance,True
113,48,Veronica Evans,kbaxter@example.net,381-476-8723x239,Decision Maker,False
114,48,Michael Rogers,pmorrow@example.net,(677)939-3226,Finance,True
115,48,Marvin Silva MD,gmooney@example.com,383.849.3970,Finance,False
116,49,Miguel Hoffman,enash@example.net,+1-242-996-7419x241,Technical,True
117,49,Michael Hopkins,kburton@example.com,5238719441,Procurement,True
118,49,Larry Carney,williamsonrachel@,001-706-664-2957x9268,Decision Maker,False
119,49,Antonio Morrow,moorebrittany@example.com,672-709-9329x357,Technical,True
120,50,Lisa Chan,hernandezlori@example.com,(290)982-2647x710,Technical,False
121,50,Bobby Rivera,mhall@example.org,+1-229-748-0822x766,Finance,True
122,50,Daniel Kelly,invalid_email,873.791.4855x29801,Procurement,False
123,52,Janet Williams,laurajones@,409-636-2222,Procurement,False
124,52,Richard Howell,rebecca67@example.org,326-506-6499x9842,Technical,False
125,52,Aaron Perez,alyssaboyd@example.com,2638524918,Decision Maker,True
126,52,Stanley Robinson,brian71@example.org,+1-441-286-6966x407,Decision Maker,True
127,52,Wendy Davidson,staceywalter@example.com,001-719-505-7764x861,Technical,False
128,53,Amber Ryan,smarshall@example.com,433-362-2177,Technical,True
129,55,Brandon White,tammy16@example.net,9068338240,Procurement,False
130,55,Derrick Young,donna59@example.org,(658)274-4647x8828,Procurement,True
131,55,David Baker,cartertheresa@example.org,(515)692-8308x86746,Technical,True
132,55,Elizabeth Edwards,dennis76@example.com,+1-274-907-8726x32629,Technical,False
133,55,Amanda Johnson,adamguerra@example.com,+1-465-391-4790x7966,Technical,True
134,57,Randy Manning,catherine34@example.com,279-384-1718x17791,Procurement,True
135,57,Dillon Campbell,kwest@example.org,+1-289-662-2749x70164,Finance,False
136,57,Valerie Gonzales,peter55@example.com,735.559.2885,Technical,True
137,57,Renee Larsen,ruth67@example.net,+1-414-719-5579x95520,Decision Maker,False
138,57,Maria Roberts,danielhodges@example.org,001-413-370-5742,Procurement,True
139,58,Deanna Jones,xphillips@example.com,9749821929,Technical,False
140,58,Jeremy Silva,christinerobinson@example.net,001-995-885-9023x8054,Procurement,False
141,58,Dawn French,jbennett@example.com,4686303126,Decision Maker,False
142,59,Travis Moore,ajohnson@example.org,(635)413-5427,Procurement,True
143,59,Michael Koch,jason53@example.net,630.791.5416,Procurement,False
144,59,Jennifer Klein,scott03@,755.581.8279x4820,Finance,True
145,59,Christine Miller,johnsoncolin@example.net,742.324.1941x470,Decision Maker,False
146,60,Jonathan Thompson,rhondasilva@example.net,(366)527-3931,Finance,False
147,61,Paula Adams,lori15@example.com,528.472.3282x81440,Technical,True
148,61,Lauren Adams,anthony63@example.net,(978)899-8529x591,Finance,True
149,61,Jonathan White DVM,michael92@example.org,001-722-347-8864x315,Decision Maker,False
150,61,Stephanie Jackson,william56@example.net,(672)493-4444x447,Procurement,True
151,61,Marie Mendoza,awilson@,300.327.5349,Technical,False
152,63,Julie Hunter,christina98@example.org,349.210.8888,Procurement,False
153,64,Sandra Morris,johnny41@example.net,(675)215-0519,Technical,False
154,64,Thomas Alexander,jenningsallisonexample.com,2098197736,Technical,True
155,64,Thomas Hernandez,scott74@example.org,(788)851-0770x348,Technical,True
156,65,Tina Miller,nlamb@example.org,590.296.0796x8348,Decision Maker,True
157,65,Patrick Soto,llang@example.com,361-757-6071x920,Finance,False
158,65,Jeffrey Parsons,foxamy@example.net,(265)405-3624x28055,Decision Maker,False
159,65,Michael Kim,xphillips@example.org,401.635.8654x77764,Procurement,False
160,66,Eric Shelton,sbanks@,665-407-1435,Technical,False
161,66,Heather Smith,fergusonkylie@example.org,+1-451-877-4561x130,Technical,True
162,66,Brenda Butler,trogers@example.net,(928)291-1260x1402,Decision Maker,True
163,66,Jason Thomas,ymitchell@example.org,924.329.0642x34294,Finance,False
164,66,Nicolas Castro,michelle16@example.org,+1-830-473-5418x33660,Decision Maker,True
165,67,Victoria Holt,nicholas88@example.com,001-800-592-6156x62591,Technical,True
166,67,Rebecca Bradley,bwilliams@example.org,(636)311-4985,Procurement,True
167,68,John Thomas,umoore@example.net,+1-504-547-2367x6926,Decision Maker,True
168,68,Jacob Riley,johnsonjodi@example.com,+1-847-294-7544x990,Procurement,True
169,68,Benjamin Dominguez,james49@example.com,001-945-537-6945x3307,Procurement,False
170,68,Alexis Dodson,smayer@example.com,001-801-338-7902x19858,Procurement,False
171,68,Brian Lopez,whitejennifer@example.net,001-744-931-9292x30765,Decision Maker,True
172,70,Patricia Jensen,fieldsstuart@example.org,489.441.5016x365,Procurement,True
173,70,Christine Brown,hensondavid@example.org,5572223290,Finance,False
174,70,Jack Lee,james48@example.org,001-213-671-3388x03116,Decision Maker,False
175,71,Jason Campbell,fthomas@example.net,837-227-3785,Decision Maker,True
176,72,Craig Hill,frank29@example.com,320.881.4602x2862,Procurement,False
177,72,Lindsay Chambers,john64@,(768)766-4258,Procurement,True
178,72,Nicholas Goodman,gbrown@example.com,656-586-7572,Decision Maker,False
179,73,Teresa Contreras,johnny64@example.com,(886)872-8167,Decision Maker,True
180,74,Sharon Green,gthompson@example.org,(887)663-3477x1929,Technical,False
181,74,John Holder,kenneth03@example.net,(415)495-8409,Technical,True
182,75,Jessica Coleman,chill@example.net,395-805-8418,Finance,True
183,75,Alexander Foley,leslie09@example.net,001-353-811-8283x446,Decision Maker,False
184,75,Angela Lopez,wadestacey@example.net,+1-587-921-4640x423,Technical,False
185,77,Dennis Sanders,pauljones@example.com,+1-202-999-1803x033,Technical,True
186,77,Reginald Franklin,alyssa60@example.com,(870)312-8853x961,Procurement,False
187,79,Mrs. Kristina Johnson,jacobsherman@example.net,845.561.3094x890,Technical,False
188,79,Scott Mills,gmendoza@example.com,450.685.2129,Technical,True
189,79,Ricardo Price,martintaylor@,001-364-736-7001x920,Procurement,False
190,79,Travis Price,fochoa@example.org,(318)562-1717x6269,Finance,True
191,79,Stephanie White,qscott@example.org,5722835232,Finance,False
192,80,Melissa Wells,jasmine42@example.net,+1-780-303-2962x3754,Technical,True
193,80,Carol Parker,kdickson@,001-536-645-0898x484,Technical,False
194,80,Shawn Frank,wongmichael@example.net,455-942-1437,Technical,False
195,80,William Park,lbyrd@,975-492-5123x2976,Finance,False
196,82,Tina Thomas,michael62@example.org,560.859.2331,Finance,False
197,82,Cindy Gonzalez,alan27@example.org,+1-534-319-9088x173,Decision Maker,False
198,84,Jermaine Bowers,jonathan20@example.org,457.782.5745x77271,Decision Maker,False
199,84,Michael Robinson,michael97@example.com,(928)643-5526x666,Finance,True
200,86,William Lopez,patricia85@example.org,275-912-3739,Procurement,True
201,86,Steven Garrison,ccarter@example.org,227.761.0778,Procurement,False
202,86,Cassandra Phillips,elewis@example.com,473-322-1462,Decision Maker,False
203,86,Austin Williams,randolphcathy@example.net,001-681-727-8718,Finance,True
204,86,Katherine Price,langjoshua@example.com,(679)356-2971x034,Technical,True
205,87,Debra Clark,adam86@example.net,+1-208-453-4375x4601,Finance,True
206,87,Nathan Castro,smithmichael@example.com,859-624-7860,Decision Maker,True
207,87,Leslie White,rebekahwells@example.com,228.869.9866x6603,Technical,False
208,87,Robert Lawson,perrymorgan@example.org,+1-792-398-2155x37881,Finance,False
209,88,Kimberly Beck,bradshawpaul@example.com,937-697-4097x1367,Technical,False
210,88,Alison Anderson,heatherbentley@example.net,952.592.2042x65291,Technical,True
211,90,Michael Harper,marywright@example.net,712.402.0886x8789,Procurement,False
212,90,Stacey Nunez,kwilliamsexample.org,001-491-279-2250x1666,Decision Maker,False
213,91,David Hamilton,richardolson@example.org,952.956.9001x9640,Finance,False
214,91,Sara Reeves,lisa88@example.com,(315)548-8947x645,Procurement,False
215,91,Timothy Rodriguez,tharrington@example.com,956.931.1033,Decision Maker,False
216,91,Vincent Hunter,bhill@example.org,7895436137,Procurement,False
217,91,Faith Moore DDS,olsenkristen@example.org,+1-254-435-8510x6994,Finance,False
218,92,Jordan Harris,robertrosario@example.net,518-662-8689x57299,Procurement,False
219,92,Matthew Stephens,perezmary@example.com,786.316.1564,Procurement,True
220,92,Matthew Diaz,morrisrobert@example.com,354-250-7847,Technical,False
221,92,Crystal Pitts,ellisjames@example.net,297-698-2562x992,Finance,False
222,92,Tara Coleman,carterkayla@example.org,+1-744-597-6660x85090,Procurement,True
223,93,Elizabeth Taylor PhD,charlescourtney@,(592)230-9946x98458,Decision Maker,True
224,94,Emily Lewis,stephanienorris@example.org,(750)554-0844x914,Finance,True
225,94,Bobby Pham,hannah44@example.org,+1-502-461-8503x74354,Technical,True
226,95,Michael Lopez,williamsmatthew@example.com,2996369516,Finance,True
227,95,Michael James,jchapmanexample.org,(366)849-5672,Procurement,True
228,95,Lisa Nunez,mcculloughdanielle@example.net,(848)847-9100x31115,Procurement,False
229,95,Kevin Nolan,paul56@example.net,342.353.2486x12205,Technical,False
230,95,Vanessa Sanchez,davidwoods@example.org,+1-701-962-7684x5740,Finance,True
231,96,Christopher Jackson,phillip77@example.org,(279)418-5041x77150,Procurement,True
232,98,Sarah Hicks,jamesjeffrey@example.com,(848)356-8864,Technical,True
233,99,Jason Roberts,markjohnson@example.org,(789)385-4463,Finance,True
234,99,Emma Fuentes,jrivera@example.com,(346)370-4548,Finance,False
235,99,David Anderson,cannonandrew@example.com,698-774-5170x44844,Finance,True
236,100,Michael Obrien,howelljulie@example.org,(521)392-6523x3235,Finance,False
237,100,Jonathan Navarro,mark15@example.com,+1-500-840-8801x578,Decision Maker,False
238,100,Rodney Cervantes,nicoleramirez@example.net,001-519-468-2887x26567,Technical,False
239,100,Diana Aguilar,nwright@example.org,(658)449-1789x890,Finance,True
240,101,Anthony Walton,elliscarlos@example.com,(254)877-7334,Procurement,False
241,102,Jose Stokes,ksavage@example.org,(986)708-0130,Finance,False
242,102,Stacy Murphy,hpeck@example.com,+1-575-763-0794x435,Finance,False
243,102,Amy Scott,vlynch@example.net,+1-797-410-1729,Finance,False
244,103,Summer Guerrero,adam60@example.com,326.699.7814x9310,Procurement,False
245,103,Cassandra Hall PhD,corey05@example.com,(505)807-9809x884,Decision Maker,False
246,103,Tina Hancock,wheelerantonio@example.com,928.615.9602,Procurement,False
247,104,Andrew Cruz,rasmussenmary@example.org,+1-581-569-3959x8820,Technical,False
248,104,Charles Scott,spitts@example.org,001-640-795-0185x3901,Decision Maker,False
249,104,Melissa Davidson,lewiseric@example.com,2055899127,Procurement,True
250,104,Theresa Allison,aortega@example.org,001-669-415-3619x719,Technical,True
251,104,Jared Rivera,gsalinas@example.net,826-260-6658x15937,Decision Maker,False
252,105,Ashley Cross,gary58@example.com,001-737-312-5514x4950,Procurement,True
253,105,Mark Phillips,ramirezcourtneyexample.com,237-667-4238,Procurement,True
254,107,Kristen Gordon,gutierrezrebecca@example.net,001-365-327-6245x0119,Procurement,True
255,107,Manuel Chavez,tammymcgee@example.org,+1-436-450-1961x8301,Technical,False
256,107,Alison Mueller,christian88@example.com,420.656.4052x0519,Finance,True
257,108,John Obrien,hintonbrent@example.net,3829073114,Finance,True
258,108,Heather Gates,davidbarajas@example.com,761-539-5982x9755,Finance,False
259,109,Mrs. Jennifer Francis,hernandezstephanie@example.net,+1-725-780-1344x3360,Technical,True
260,109,David Miller,marcus65@example.net,(228)562-7908,Decision Maker,False
261,109,Alex Martinez,mckinneyrobert@example.org,219.333.6105x16354,Technical,False
262,109,Cynthia Green,angelabooth@example.com,(208)485-8166,Decision Maker,True
263,109,Larry Roberts,tjonesexample.com,(279)668-8578x893,Technical,True
264,111,Lynn Nelson,kristinagarcia@example.org,(411)541-5009x19739,Decision Maker,True
265,111,Earl Walker,elizabethmurray@example.net,640.250.3874x8208,Decision Maker,True
266,112,Patricia Keith,xbeard@example.net,(402)799-8697x207,Procurement,False
267,112,Kevin Ortiz,jessica71@example.net,001-210-673-3194x59186,Decision Maker,True
268,112,Christopher Brown,derek30@example.net,001-256-211-0912x83313,Procurement,False
269,113,Annette Dyer,ryan14@example.org,(803)462-6027x9852,Technical,True
270,113,Michelle Wright,stephanie47@example.net,001-477-621-2838x494,Procurement,True
271,113,William Benson,charles15@example.net,451.963.7715x77284,Decision Maker,True
272,113,Marvin Reed,jennifer11@example.net,+1-213-506-1308,Procurement,True
273,113,Elizabeth Morris,ngreen@example.net,354.899.1663,Technical,False
274,114,Robin Oliver,zwood@example.net,001-640-431-9816x7668,Technical,True
275,114,Pamela Rogers,jennifer45@example.com,5593302832,Finance,False
276,115,Daniel Blankenship,gpeters@example.net,+1-459-714-8634x00945,Decision Maker,False
277,115,Charles Lawrence,danielmcintosh@example.net,508.903.5631,Decision Maker,False
278,115,Jill Barrera,efoley@example.net,+1-634-348-6356,Decision Maker,True
279,115,Denise Rush,katie10@example.org,001-750-938-7179x894,Finance,False
280,116,Michael Randall,brianjones@example.org,+1-875-280-7910x966,Technical,True
281,116,Daniel Parrish,tphillips@example.com,001-544-575-1622x58498,Finance,True
282,116,Kimberly Shelton,qvillegas@example.org,742-750-1096x46918,Finance,True
283,116,Rachel Beck,laurenbrady@example.com,+1-255-502-6310x3779,Decision Maker,True
284,116,Gregory Byrd,careymatthew@example.net,+1-902-814-0626x7266,Decision Maker,False
285,117,Jason Richard,gainesmatthew@example.net,(260)998-9506x8646,Decision Maker,True
286,117,Anthony Gonzalez,laura76@example.org,860.812.8773,Procurement,False
287,117,Tiffany Kennedy,johnsonkevin@,254-938-4041x200,Technical,True
288,117,Mark Salinas,evansjoanne@example.com,970.954.9158x159,Finance,True
289,118,Benjamin Johnson,invalid_email,326-427-2251x467,Procurement,False
290,118,Kevin Williams,jeremiah77@example.org,613.876.5481x1499,Finance,False
291,118,Richard Richard,sharpsharon@example.net,(536)819-3287x04180,Decision Maker,True
292,118,James Lewis,chase77example.org,659.374.1518x159,Procurement,True
293,118,Melissa Salinas,marcojones@example.org,238.808.6057x227,Decision Maker,False
294,119,Jamie Haas,adkinsjennifer@example.com,(200)844-0701x7767,Procurement,True
295,119,Ashley Ramirez,redwards@example.org,995.609.1169,Procurement,True
296,119,Shirley Olson,megan41@example.net,466-750-3935,Finance,True
297,119,Priscilla Brown,michellewatson@example.org,364-730-2418,Finance,False
298,120,Lisa Trevino,patricia14@example.org,(493)698-9227x9986,Procurement,True
299,120,Michael Rodriguez,dsilva@example.com,351.690.2261x4879,Decision Maker,False
300,121,Jesus Watson,invalid_email,+1-378-532-7186x6454,Finance,False
301,121,Daniel Montgomery,rebecca54@example.net,886.609.8370x05616,Decision Maker,False
302,121,Cindy Byrd,pwashington@example.org,408.973.8890x268,Decision Maker,True
303,121,Ariel Harrington,blanchardscott@example.net,254.888.6869,Procurement,True
304,121,Ashley Daugherty,nancy39@example.org,5359928273,Decision Maker,True
305,122,Dennis Parrish,wandaallen@example.org,951-918-6689,Decision Maker,False
306,122,Katie Thomas,michaelkennedy@example.org,+1-999-350-8939x55101,Procurement,False
307,122,Nancy Young,qbanks@example.net,+1-945-987-8675,Decision Maker,True
308,122,Andrew Fry,jburch@example.net,001-987-566-1145x1877,Procurement,False
309,126,Erin Lee,reynoldswilliam@example.net,+1-833-874-0933x8191,Procurement,True
310,126,Tammy Lewis,allendiaz@example.com,986-202-9523x82324,Technical,False
311,126,Matthew Mccarthy,walter92@example.org,392.207.5542x4014,Finance,True
312,126,Jordan Zavala,brandongarcia@example.com,(910)765-5443x16364,Technical,False
313,126,Amber Terrell,thompsonshawn@example.net,+1-333-886-6497x97679,Decision Maker,True
314,127,Anna Stephens,karen04@example.com,3102501443,Finance,False
315,127,Alan Hill,alexanderhenry@example.com,713-808-3886x76219,Decision Maker,False
316,127,Frank Manning,lisaleblanc@example.net,(423)907-1715,Procurement,False
317,127,Kelli Ray,johnjackson@example.org,+1-389-356-5916,Finance,False
318,127,Kayla Heath,juliewilliams@example.com,896-529-5199x154,Procurement,False
319,128,Melissa Ruiz DVM,nicholas29@example.net,(494)897-3915,Technical,False
320,128,Danny Harris,angelamccannexample.org,480-812-7190x8822,Finance,False
321,130,Justin Garcia,brandon56@example.org,628-548-3717x556,Decision Maker,False
322,130,Thomas Willis,vstewart@example.com,(963)946-1447x6289,Procurement,False
323,131,Edward Munoz,jennifer50@example.org,519-512-3909,Finance,False
324,132,Sarah Reid,cory32@example.net,699.313.7461,Procurement,False
325,132,Kathryn Franco,ronaldtaylor@example.com,661.563.7802x741,Finance,False
326,133,Tammy Lowe,lbrown@example.com,+1-953-629-2812x0128,Procurement,True
327,133,Michael Cabrera,kellerscott@example.org,(452)310-8824,Finance,False
328,133,Sergio Todd,martinhiggins@example.net,(260)544-2995x32550,Technical,True
329,133,Samantha Barker,lori49@example.net,+1-807-700-0412x1459,Finance,True
330,134,Margaret Andrews,raybrewer@example.com,313.258.0430,Decision Maker,False
331,135,Troy Vasquez,moranjim@example.net,+1-764-915-6500x6476,Decision Maker,True
332,136,Christopher Guerrero,gwebb@,(812)683-2712,Procurement,True
333,136,Margaret Smith,phelpsdavid@example.net,(960)984-2737x18252,Procurement,True
334,136,Christina Wilson,jamesroberts@example.org,921-359-6252x71952,Procurement,True
335,136,Shelby Fox,wilsonandrew@,+1-689-933-0537x0092,Finance,False
336,137,Jeremiah Good,simpsonjordan@example.com,938-640-0346x2073,Technical,True
337,137,Victoria Elliott,smithamber@example.net,+1-954-204-7090x5703,Decision Maker,True
338,137,Michael Marshall,kennethnavarro@example.org,880-905-7347x6449,Technical,True
339,137,Rachel Diaz,brandonbrock@example.net,+1-987-374-8819x2476,Technical,True
340,138,Matthew Smith,vmoore@example.net,001-417-576-0840,Technical,True
341,138,Derek Austin,sandra27@example.net,761.439.5940x8072,Procurement,False
342,139,Scott Tucker,velasquezhannah@example.com,235-910-7311x25132,Technical,False
343,139,Allison Ortega,browngary@example.com,+1-694-467-3692x62877,Decision Maker,True
344,139,Holly Brennan,tsmith@example.org,3376398689,Decision Maker,True
345,139,Shawna Carroll,wisejesse@example.org,+1-877-982-6895x135,Technical,True
346,139,Tammy Hatfield,david74@example.net,(806)288-3125,Decision Maker,True
347,141,Melissa Chandler,brittanyflores@example.net,955.857.7660,Finance,True
348,141,Veronica Rose,littleashley@example.net,001-695-571-7000x30824,Decision Maker,True
349,141,Leah Hunter,gcollier@example.net,640-805-0380,Technical,False
350,142,David Pineda,vanessa24@example.net,+1-642-519-6176x5892,Finance,True
351,143,Jeremy Garner,timothy41@example.net,381-565-9760x1502,Technical,False
352,144,Brad Baldwin,heather22@example.net,525-257-1339x2123,Procurement,True
353,145,Kim Bradley,invalid_email,(354)293-7247x02308,Procurement,True
354,145,John Smith,ddavis@example.net,(270)471-2519x75252,Finance,True
355,146,Patrick Allen,williamsbrittany@example.net,(404)322-7520,Decision Maker,False
356,146,Jamie Price,pearsonpatricia@example.org,(695)600-7682,Decision Maker,False
357,146,Aaron Peterson,edward84@example.com,(503)739-6715,Finance,True
358,146,Jenna Garcia,deannamooreexample.com,419-528-2291x9009,Procurement,False
359,147,Marcus Collins,tamismith@example.com,(390)899-4550x93794,Technical,True
360,147,Kelsey Turner,audrey34@example.org,735-320-9626,Procurement,False
361,148,Angela Santiago,invalid_email,001-589-731-6308x13464,Decision Maker,True
362,148,Robert Flynn,kimberlywilson@example.net,464-231-8592,Technical,False
